                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2786,                0.59517,                0.81411,                0.90822,                0.88889,                0.90506,                0.58032,                 1.2716,                0.68826,                0.79926,               0.006568,               0.006568,               0.006568
                     54,                 1.3119,                0.59928,                0.82134,                0.94935,                0.86777,                0.94901,                0.61698,                 1.2334,                0.63085,                0.78659,               0.006502,               0.006502,               0.006502
                     55,                 1.2775,                0.58008,                0.81588,                0.91814,                0.87037,                0.93369,                0.60886,                 1.2169,                0.60939,                0.79423,               0.006436,               0.006436,               0.006436
                     56,                 1.2964,                0.56915,                0.82319,                0.96769,                0.83191,                0.92234,                0.60764,                 1.2342,                0.56428,                 0.8005,                0.00637,                0.00637,                0.00637
                     57,                 1.2718,                0.57854,                0.81426,                0.86179,                0.88889,                0.92734,                 0.5987,                 1.3184,                0.67448,                0.79915,               0.006304,               0.006304,               0.006304
                     58,                 1.2779,                0.56772,                0.82155,                0.91089,                0.85183,                 0.9245,                0.57512,                 1.3156,                0.63288,                0.79396,               0.006238,               0.006238,               0.006238
                     59,                 1.2757,                0.58558,                0.81019,                0.98885,                0.82106,                0.93211,                0.60775,                 1.2961,                 0.6739,                0.79738,               0.006172,               0.006172,               0.006172
                     60,                 1.2671,                 0.5553,                0.81966,                0.97826,                0.83332,                0.93196,                0.57942,                 1.2705,                0.68141,                0.79502,               0.006106,               0.006106,               0.006106
                     61,                 1.2733,                0.57062,                0.81608,                 0.9538,                0.87037,                0.94674,                0.62166,                 1.2688,                0.62438,                0.79382,                0.00604,                0.00604,                0.00604
                     62,                 1.2511,                0.55598,                0.81835,                0.90255,                0.85756,                0.90782,                0.60512,                 1.1991,                0.64426,                 0.7937,               0.005974,               0.005974,               0.005974
                     63,                 1.2275,                0.56091,                0.80894,                0.96806,                0.82407,                0.92509,                0.60668,                  1.245,                0.59369,                0.79108,               0.005908,               0.005908,               0.005908
                     64,                 1.2257,                0.56806,                0.80223,                0.97407,                0.86111,                0.95493,                0.62535,                 1.2422,                0.67562,                0.79223,               0.005842,               0.005842,               0.005842
                     65,                 1.2132,                 0.5518,                0.81129,                 0.9621,                0.86111,                0.94323,                0.60245,                 1.2386,                0.67801,                0.79567,               0.005776,               0.005776,               0.005776
                     66,                 1.1685,                0.53777,                 0.8094,                0.94065,                0.88889,                 0.9439,                0.60258,                 1.2625,                0.60114,                0.79155,                0.00571,                0.00571,                0.00571
                     67,                 1.2592,                0.57225,                0.81197,                0.94969,                0.87391,                0.94127,                0.63852,                  1.223,                0.69647,                0.79467,               0.005644,               0.005644,               0.005644
                     68,                 1.2044,                0.55816,                0.82261,                0.95795,                0.83333,                0.93998,                0.60622,                  1.235,                 0.6736,                0.80028,               0.005578,               0.005578,               0.005578
                     69,                 1.2542,                0.54934,                0.81023,                0.97905,                0.88889,                0.96093,                 0.6407,                 1.2068,                0.62583,                0.78727,               0.005512,               0.005512,               0.005512
                     70,                  1.222,                 0.5456,                0.81058,                0.98922,                0.84967,                 0.9543,                0.64178,                 1.1586,                0.60078,                0.78773,               0.005446,               0.005446,               0.005446
                     71,                 1.2167,                0.53289,                0.80942,                0.96868,                0.85905,                0.95838,                0.64135,                 1.2009,                0.62812,                0.78697,                0.00538,                0.00538,                0.00538
                     72,                 1.2164,                0.53877,                0.80947,                0.94968,                0.87376,                 0.9507,                0.63893,                 1.2178,                0.58177,                0.79069,               0.005314,               0.005314,               0.005314
                     73,                 1.1659,                0.51282,                0.81063,                0.99715,                0.84259,                0.96611,                0.64822,                 1.1992,                0.60565,                0.78896,               0.005248,               0.005248,               0.005248
                     74,                 1.1872,                0.51106,                0.80457,                0.95951,                0.87774,                0.94738,                0.64109,                 1.1532,                0.55857,                0.78899,               0.005182,               0.005182,               0.005182
                     75,                 1.1887,                0.51992,                0.81411,                0.94856,                0.87037,                0.92248,                 0.6077,                 1.1854,                0.62646,                0.79202,               0.005116,               0.005116,               0.005116
                     76,                 1.1772,                0.51314,                0.80696,                0.91552,                0.87963,                0.93129,                0.60006,                 1.2063,                0.60895,                0.79417,                0.00505,                0.00505,                0.00505
                     77,                 1.1728,                0.51932,                0.80859,                0.95757,                0.85185,                0.94433,                0.63168,                 1.1782,                0.56977,                0.79382,               0.004984,               0.004984,               0.004984
                     78,                  1.156,                0.53016,                0.82035,                0.95453,                0.90741,                0.94441,                0.61024,                 1.2191,                0.62269,                 0.7935,               0.004918,               0.004918,               0.004918
                     79,                 1.1742,                0.51534,                0.81236,                0.90086,                0.84141,                0.92306,                0.60955,                 1.1938,                  0.696,                0.79089,               0.004852,               0.004852,               0.004852
                     80,                 1.1468,                0.50805,                0.81316,                0.97244,                0.86111,                0.93771,                0.62969,                 1.2233,                0.64029,                0.79149,               0.004786,               0.004786,               0.004786
                     81,                 1.1666,                0.53655,                0.79969,                0.96907,                0.87037,                0.94111,                0.63558,                 1.1818,                0.61331,                0.78865,                0.00472,                0.00472,                0.00472
                     82,                 1.1617,                0.49293,                 0.8133,                0.95062,                0.89121,                0.93971,                 0.6199,                 1.2031,                0.64661,                0.79294,               0.004654,               0.004654,               0.004654
                     83,                 1.1135,                0.51855,                0.80722,                0.97349,                0.87963,                0.93527,                0.62489,                 1.2244,                0.64275,                0.79546,               0.004588,               0.004588,               0.004588
                     84,                 1.1544,                0.51799,                0.81156,                0.95215,                0.87037,                0.93501,                0.63885,                 1.1251,                0.64693,                0.78826,               0.004522,               0.004522,               0.004522
                     85,                 1.1337,                0.51097,                0.81497,                0.93173,                0.88454,                0.94908,                0.63314,                 1.1853,                 0.6664,                0.78772,               0.004456,               0.004456,               0.004456
                     86,                  1.116,                0.51111,                0.80932,                0.91521,                0.89955,                0.92201,                0.62203,                  1.184,                  0.607,                 0.7873,                0.00439,                0.00439,                0.00439
                     87,                  1.087,                0.48471,                0.81423,                0.94056,                0.87907,                0.93087,                  0.619,                 1.1864,                0.59675,                0.78764,               0.004324,               0.004324,               0.004324
                     88,                 1.0935,                0.47245,                0.81143,                0.93321,                0.90566,                0.95395,                0.64681,                 1.1106,                0.64206,                0.78748,               0.004258,               0.004258,               0.004258
                     89,                 1.1145,                0.45958,                 0.7897,                0.92655,                0.87963,                0.95307,                0.63322,                 1.2223,                0.68805,                0.78676,               0.004192,               0.004192,               0.004192
                     90,                 1.1223,                0.48913,                0.80764,                0.96022,                0.89395,                0.93788,                0.63278,                 1.2019,                0.67697,                0.78924,               0.004126,               0.004126,               0.004126
                     91,                  1.094,                0.47982,                0.79208,                 0.9318,                0.88551,                0.92622,                0.63394,                 1.1163,                0.63665,                0.78601,                0.00406,                0.00406,                0.00406
                     92,                 1.0702,                0.47267,                0.80088,                0.94878,                0.89815,                0.95156,                0.64544,                  1.175,                0.64073,                0.78691,               0.003994,               0.003994,               0.003994
                     93,                 1.0945,                0.49829,                0.80531,                0.93197,                0.88796,                0.95701,                0.65146,                 1.1233,                0.63524,                0.78777,               0.003928,               0.003928,               0.003928
                     94,                 1.0644,                0.46117,                0.81017,                0.93147,                0.88094,                0.93958,                 0.6435,                 1.1343,                0.64624,                0.78563,               0.003862,               0.003862,               0.003862
                     95,                 1.1053,                0.48765,                0.80277,                0.94094,                0.88518,                0.93734,                0.63032,                 1.1122,                0.62001,                0.78656,               0.003796,               0.003796,               0.003796
                     96,                 1.0937,                0.46755,                0.80248,                0.93506,                0.85185,                0.94062,                0.65293,                  1.137,                0.63072,                0.78658,                0.00373,                0.00373,                0.00373
                     97,                 1.0687,                 0.4782,                0.80466,                0.96586,                0.85185,                0.93471,                0.64859,                 1.1348,                0.61008,                0.78741,               0.003664,               0.003664,               0.003664
                     98,                 1.0236,                0.46248,                0.79163,                0.92692,                0.88889,                0.95464,                0.64616,                 1.1219,                 0.5699,                0.78259,               0.003598,               0.003598,               0.003598
                     99,                 1.0539,                0.45644,                0.78537,                0.94257,                0.88889,                0.94609,                0.64265,                 1.1264,                0.58115,                0.78357,               0.003532,               0.003532,               0.003532
                    100,                 1.0251,                0.43736,                0.78963,                0.96532,                0.88889,                0.95393,                0.65906,                 1.1135,                0.63832,                0.78265,               0.003466,               0.003466,               0.003466
                    101,                 1.0551,                0.45242,                0.80401,                0.94478,                0.87963,                 0.9485,                0.64126,                 1.1725,                0.57978,                0.78687,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.0504,                 0.4671,                0.78838,                0.96039,                0.89802,                0.95684,                0.64371,                 1.1682,                0.58483,                0.78249,               0.003334,               0.003334,               0.003334
                    103,                 1.0432,                0.45391,                0.79696,                0.94559,                0.87963,                0.95145,                0.64564,                 1.1465,                0.60841,                0.78344,               0.003268,               0.003268,               0.003268
                    104,                 1.0551,                0.46932,                0.79556,                0.94128,                0.89053,                0.93871,                0.64514,                 1.1088,                0.59256,                0.78321,               0.003202,               0.003202,               0.003202
                    105,                 1.0594,                0.45322,                0.79665,                0.94157,                0.89523,                0.95335,                0.65231,                 1.1679,                0.67134,                0.78489,               0.003136,               0.003136,               0.003136
                    106,                 1.0434,                0.45131,                0.79429,                  0.969,                0.88889,                0.95563,                0.66174,                 1.1543,                0.62104,                  0.786,                0.00307,                0.00307,                0.00307
                    107,                 1.0719,                0.44742,                0.80208,                0.95815,                0.90741,                0.95805,                0.64218,                 1.1887,                0.62138,                0.78486,               0.003004,               0.003004,               0.003004
                    108,                 1.0431,                0.44828,                0.80427,                0.93615,                0.87037,                0.95185,                0.64341,                 1.1658,                0.59509,                0.78443,               0.002938,               0.002938,               0.002938
                    109,                 1.0184,                0.43116,                0.79788,                0.96903,                0.86929,                0.95886,                  0.642,                 1.1745,                0.59269,                0.78413,               0.002872,               0.002872,               0.002872
                    110,                 1.0411,                 0.4358,                 0.8034,                0.96024,                0.89447,                0.94445,                0.62388,                 1.1919,                0.64947,                0.78917,               0.002806,               0.002806,               0.002806
                    111,                 1.0196,                0.44332,                0.79779,                0.92623,                0.88889,                0.93381,                0.62439,                 1.1304,                 0.6149,                 0.7873,                0.00274,                0.00274,                0.00274
                    112,                0.98131,                 0.4212,                0.79635,                0.97935,                0.87846,                0.95118,                0.63823,                 1.1476,                0.59558,                0.78481,               0.002674,               0.002674,               0.002674
                    113,                0.99388,                0.44463,                0.79452,                0.95103,                0.89918,                0.95183,                0.63974,                 1.1171,                0.58196,                0.78268,               0.002608,               0.002608,               0.002608
                    114,                 1.0126,                0.43667,                0.79355,                0.96034,                0.89673,                0.94973,                0.64528,                 1.1412,                 0.5748,                0.78131,               0.002542,               0.002542,               0.002542
                    115,                0.96959,                 0.4307,                0.79815,                0.96011,                0.89145,                0.95718,                0.64958,                 1.1392,                0.58185,                0.78332,               0.002476,               0.002476,               0.002476
                    116,                 1.0182,                0.43709,                0.79342,                0.96152,                0.89815,                0.95032,                0.64072,                 1.1298,                  0.607,                0.78642,                0.00241,                0.00241,                0.00241
                    117,                0.98345,                0.41739,                0.80063,                 0.9308,                0.88889,                0.94096,                0.62486,                  1.118,                0.57861,                 0.7805,               0.002344,               0.002344,               0.002344
                    118,                0.97069,                0.43275,                0.79501,                 0.9236,                0.89815,                0.94167,                0.63594,                 1.1162,                0.58164,                0.78299,               0.002278,               0.002278,               0.002278
                    119,                0.96473,                 0.4199,                0.79588,                0.93522,                0.89815,                0.94451,                0.64195,                 1.1707,                0.60544,                0.78455,               0.002212,               0.002212,               0.002212
                    120,                0.98396,                0.43351,                0.79219,                0.93267,                0.89778,                0.93915,                0.63818,                 1.1201,                0.59388,                0.78213,               0.002146,               0.002146,               0.002146
                    121,                0.96576,                0.42466,                 0.7983,                0.92234,                 0.8797,                0.95204,                 0.6422,                 1.1382,                0.55686,                0.78244,                0.00208,                0.00208,                0.00208
                    122,                0.96881,                0.41582,                0.79377,                0.94581,                0.88889,                0.95053,                0.64874,                 1.1185,                0.62193,                0.78119,               0.002014,               0.002014,               0.002014
                    123,                0.93715,                0.41478,                0.78285,                0.93298,                0.90231,                0.94429,                0.63813,                  1.134,                0.60387,                0.78088,               0.001948,               0.001948,               0.001948
                    124,                0.94008,                0.42296,                 0.8074,                0.93166,                0.88367,                0.94645,                0.64336,                 1.1194,                0.58798,                 0.7811,               0.001882,               0.001882,               0.001882
                    125,                0.98098,                0.42723,                0.78778,                   0.93,                0.87963,                0.94987,                0.63875,                 1.1558,                0.59145,                0.78072,               0.001816,               0.001816,               0.001816
                    126,                0.94305,                 0.3864,                0.79112,                0.95502,                0.89815,                0.96043,                0.65637,                 1.1191,                0.54444,                0.78003,                0.00175,                0.00175,                0.00175
                    127,                0.95351,                0.39251,                0.80728,                0.95029,                0.88511,                0.95846,                0.65809,                 1.1066,                0.50838,                0.78209,               0.001684,               0.001684,               0.001684
                    128,                0.91614,                0.39952,                0.80048,                0.92126,                0.89815,                0.94314,                0.65234,                 1.1492,                0.56778,                0.78026,               0.001618,               0.001618,               0.001618
                    129,                0.93851,                0.41656,                 0.7874,                0.97956,                0.88764,                0.95313,                0.66178,                 1.1194,                0.54958,                0.77993,               0.001552,               0.001552,               0.001552
                    130,                0.91032,                0.40216,                 0.7837,                0.96024,                0.89447,                0.94873,                 0.6469,                 1.1509,                0.61143,                0.78212,               0.001486,               0.001486,               0.001486
